run_id,key,value,step,timestamp
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.06976884939231925,1000,1687506444859
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.28453441577595445,2000,1687507701722
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.38636207612420864,3000,1687508999522
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.4773297516965178,4000,1687510291090
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.5789235259552362,5000,1687511602942
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.6173260001668723,6000,1687512897365
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.6325557867035275,7000,1687514223228
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.6494970124053855,8000,1687515483896
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.6694649511456718,9000,1687516801964
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.674894396085473,10000,1687518059025
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.6838605474159009,11000,1687519344047
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.6851869126920712,12000,1687520606316
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.6942066337988395,13000,1687521932849
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.6952162877131213,14000,1687523231106
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.700355518658184,15000,1687524491158
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7009960732534376,16000,1687525765168
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7057113902146288,18000,1687528351582
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7103216290562876,19000,1687529659381
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7121341424524054,20000,1687530957954
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7131422764120445,24000,1687535939189
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7168801601963548,25000,1687537176495
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7173611192069842,26000,1687538419294
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7179249025603962,28000,1687540873979
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7197612004293938,30000,1687543338306
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7209415587612531,32000,1687545798892
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.723032938182937,35000,1687549520167
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7241913464416481,36000,1687550753296
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.725141903245762,39000,1687554491355
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7253059697938885,40000,1687555736998
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.726581070271377,44000,1687560762569
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.727243986749515,46000,1687563285252
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7278092874511453,49000,1687567142651
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7284242588939174,53000,1687572411684
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7291484678030505,56000,1687576382275
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7302880571425854,58000,1687579097300
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.730450563276526,60000,1687581808808
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7312408513604352,62000,1687584493851
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7340317590569106,66000,1687589877147
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7344277173859941,80000,1687608344750
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.734865468786135,86000,1687616793792
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7354901051818633,87000,1687618174633
a450f87f3a7647558a6734c7efdd97b0,_best_score,0.7359960890812726,93000,1687626444158
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.09418672096587064,1000,1687506118856
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.26994182877498113,2000,1687507902245
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.3878035413270721,3000,1687509728536
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.48774087227747953,4000,1687511187380
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.5735592669734242,5000,1687512517191
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.6117406612681442,6000,1687513993527
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.6346761809796878,7000,1687515374972
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.6442075439922987,8000,1687516791604
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.6552032832942168,9000,1687518248313
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.6627525451517389,10000,1687519663256
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.6663507204523436,11000,1687521575852
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.6782024226039828,12000,1687523055732
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.6821443197869048,13000,1687524505317
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.6891837256230388,14000,1687525957712
ab631b9d0f6e4c14b707378fb9b7da19,_best_score,0.6913533238376308,15000,1687527428831
